Date,Open,High,Low,Close,Adj Close,Volume
2022-05-12,3150.000000,3220.000000,3080.000000,3150.000000,2814.715576,233115300
2022-05-13,3210.000000,3250.000000,3120.000000,3210.000000,2868.329102,168962700
2022-05-17,3150.000000,3270.000000,3130.000000,3220.000000,3009.838379,148618000
2022-05-18,3250.000000,3270.000000,3100.000000,3190.000000,2981.796387,128274700
2022-05-19,3140.000000,3180.000000,3050.000000,3110.000000,2907.017822,166293000
2022-05-20,3130.000000,3380.000000,3130.000000,3310.000000,3093.964355,205840300
2022-05-23,3350.000000,3350.000000,3110.000000,3150.000000,2944.407227,177893100
2022-05-24,3170.000000,3230.000000,3130.000000,3200.000000,2991.143799,112162400
2022-05-25,3160.000000,3160.000000,3070.000000,3100.000000,2897.670654,96617800
2022-05-27,3160.000000,3190.000000,3130.000000,3160.000000,2953.754395,84743400
2022-05-30,3170.000000,3180.000000,3030.000000,3060.000000,2860.281250,146193800
2022-05-31,3130.000000,3290.000000,3100.000000,3270.000000,3056.574951,286452200
2022-06-02,3260.000000,3350.000000,3200.000000,3330.000000,3112.658936,185774500
2022-06-03,3330.000000,3570.000000,3280.000000,3520.000000,3290.258301,258029000
2022-06-06,3520.000000,3590.000000,3440.000000,3460.000000,3234.174316,128510900
2022-06-07,3550.000000,3710.000000,3530.000000,3650.000000,3411.773438,225695700
2022-06-08,3650.000000,3680.000000,3590.000000,3630.000000,3393.078857,118444400
2022-06-09,3630.000000,3690.000000,3600.000000,3600.000000,3365.036865,106573000
2022-06-10,3560.000000,3590.000000,3430.000000,3430.000000,3206.132324,151998900
2022-06-13,3320.000000,3320.000000,3190.000000,3190.000000,2981.796387,202113000
2022-06-14,3170.000000,3270.000000,3110.000000,3260.000000,3047.227783,219656500
2022-06-15,3260.000000,3270.000000,3040.000000,3040.000000,2841.586670,247557600
2022-06-16,3080.000000,3170.000000,3040.000000,3060.000000,2860.281250,243268700
2022-06-17,3020.000000,3030.000000,2870.000000,2920.000000,2729.418701,229958000
2022-06-20,2920.000000,2950.000000,2860.000000,2930.000000,2738.766113,115058200
2022-06-21,3000.000000,3070.000000,2970.000000,3030.000000,2832.239258,189107600
2022-06-22,3030.000000,3090.000000,2980.000000,3030.000000,2832.239258,201749700
2022-06-23,3030.000000,3030.000000,2890.000000,2940.000000,2748.113281,145531100
2022-06-24,2970.000000,3020.000000,2950.000000,2970.000000,2776.155273,103050300
2022-06-27,2970.000000,3000.000000,2880.000000,2960.000000,2766.808105,89273500
2022-06-28,2990.000000,3000.000000,2930.000000,2950.000000,2757.460693,74114300
2022-06-29,2910.000000,2970.000000,2870.000000,2870.000000,2682.682129,69188200
2022-06-30,2810.000000,2920.000000,2810.000000,2860.000000,2673.334717,109157800
2022-07-01,2860.000000,2910.000000,2710.000000,2720.000000,2542.472168,105599200
2022-07-04,2720.000000,2830.000000,2660.000000,2770.000000,2589.208740,117849700
2022-07-05,2830.000000,2940.000000,2820.000000,2880.000000,2692.029297,135385800
2022-07-06,2850.000000,2850.000000,2720.000000,2770.000000,2589.208740,82120100
2022-07-07,2770.000000,2810.000000,2720.000000,2770.000000,2589.208740,70438600
2022-07-08,2850.000000,2880.000000,2820.000000,2830.000000,2645.292725,90522000
2022-07-11,2840.000000,2870.000000,2800.000000,2830.000000,2645.292725,52681800
2022-07-12,2860.000000,2970.000000,2840.000000,2920.000000,2729.418701,142532100
2022-07-13,2950.000000,2990.000000,2900.000000,2930.000000,2738.766113,99629700
2022-07-14,2910.000000,2960.000000,2880.000000,2930.000000,2738.766113,97805600
2022-07-15,2890.000000,2900.000000,2760.000000,2760.000000,2579.861572,98942900
2022-07-18,2760.000000,2800.000000,2730.000000,2790.000000,2607.903564,68984100
2022-07-19,2800.000000,2960.000000,2760.000000,2950.000000,2757.460693,127898100
